task_folder,model_name,compile_success,junit_success,branch_covered,branch_missed,notes
Java_000_hasCloseElements,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,4,0,ok
Java_000_hasCloseElements,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,6,0,ok
Java_001_separateParenGroups,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,9,1,ok
Java_001_separateParenGroups,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,8,0,ok
Java_002_truncateNumber,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,0,0,ok
Java_002_truncateNumber,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,0,0,ok
Java_003_belowZero,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,4,0,ok
Java_003_belowZero,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,4,0,ok
Java_004_meanAbsoluteDeviation,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,0,0,ok
Java_004_meanAbsoluteDeviation,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,4,0,ok
Java_005_intersperse,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,4,0,ok
Java_005_intersperse,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,4,0,ok
Java_006_parseNestedParens,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,7,1,ok
Java_006_parseNestedParens,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,8,0,ok
Java_007_filterBySubstring,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,0,0,ok
Java_007_filterBySubstring,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,4,0,ok
Java_008_sumProduct,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,4,0,ok
Java_008_sumProduct,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,2,0,ok
Java_009_rollingMax,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,8,0,ok
Java_009_rollingMax,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,8,0,ok
Java_010_isPalindrome,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,8,0,ok
Java_010_isPalindrome,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,8,0,ok
Java_011_stringXor,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,4,0,ok
Java_011_stringXor,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,4,0,ok
Java_012_longest,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,6,0,ok
Java_012_longest,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,6,0,ok
Java_013_greatestCommonDivisor,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,2,0,ok
Java_013_greatestCommonDivisor,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,2,0,ok
Java_014_allPrefixes,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,2,0,ok
Java_014_allPrefixes,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,2,0,ok
Java_015_stringSequence,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,2,0,ok
Java_015_stringSequence,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,2,0,ok
Java_016_countDistinctCharacters,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,2,0,ok
Java_016_countDistinctCharacters,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,2,0,ok
Java_017_parseMusic,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,10,0,ok
Java_017_parseMusic,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,6,0,ok
Java_018_howManyTimes,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,2,0,ok
Java_018_howManyTimes,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,4,0,ok
Java_019_sortNumbers,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,2,0,ok
Java_019_sortNumbers,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,2,0,ok
Java_020_findClosestElements,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,4,0,ok
Java_020_findClosestElements,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,6,0,ok
Java_021_rescaleToUnit,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,2,0,ok
Java_021_rescaleToUnit,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,2,0,ok
Java_023_strlen,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,0,0,ok
Java_023_strlen,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,0,0,ok
Java_025_factorize,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,6,0,ok
Java_025_factorize,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,4,0,ok
Java_027_flipCase,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,6,0,ok
Java_027_flipCase,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,4,0,ok
Java_028_concatenate,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,2,0,ok
Java_028_concatenate,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,2,0,ok
Java_029_filterByPrefix,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,0,0,ok
Java_029_filterByPrefix,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,0,0,ok
Java_031_isPrime,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,6,0,ok
Java_031_isPrime,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,6,0,ok
Java_036_fizzBuzz,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,10,0,ok
Java_036_fizzBuzz,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,10,0,ok
Java_039_primeFib,Qwen2.5-Coder-1.5B-Instruct-GGUF,true,true,10,0,ok
Java_039_primeFib,DeepSeek-Coder-1.3B-Instruct-GGUF,true,true,10,0,ok
